humanID,opponent,turn,condition,cooperation
omjqqytt,ppo,0,human,1
omjqqytt,ppo,1,human,1
omjqqytt,ppo,2,human,1
omjqqytt,ppo,3,human,1
omjqqytt,ppo,4,human,1
omjqqytt,ppo,5,human,1
omjqqytt,ppo,6,human,1
omjqqytt,ppo,7,human,2
omjqqytt,ppo,8,human,1
omjqqytt,ppo,9,human,1
omjqqytt,ppo,0,human,1
omjqqytt,ppo,1,human,2
omjqqytt,ppo,2,human,2
omjqqytt,ppo,3,human,1
omjqqytt,ppo,4,human,1
omjqqytt,ppo,5,human,2
omjqqytt,ppo,6,human,1
omjqqytt,ppo,7,human,1
omjqqytt,ppo,8,human,2
omjqqytt,ppo,9,human,2
mtrzuaqg,ppo,0,human,1
mtrzuaqg,ppo,1,human,2
mtrzuaqg,ppo,2,human,1
mtrzuaqg,ppo,3,human,2
mtrzuaqg,ppo,4,human,2
mtrzuaqg,ppo,5,human,1
mtrzuaqg,ppo,6,human,1
mtrzuaqg,ppo,7,human,1
mtrzuaqg,ppo,8,human,1
mtrzuaqg,ppo,9,human,1
mtrzuaqg,ppo,0,human,2
mtrzuaqg,ppo,1,human,1
mtrzuaqg,ppo,2,human,2
mtrzuaqg,ppo,3,human,2
mtrzuaqg,ppo,4,human,1
mtrzuaqg,ppo,5,human,2
mtrzuaqg,ppo,6,human,2
mtrzuaqg,ppo,7,human,2
mtrzuaqg,ppo,8,human,2
mtrzuaqg,ppo,9,human,1
mtrzuaqg,ppo,0,human,1
mtrzuaqg,ppo,1,human,2
mtrzuaqg,ppo,2,human,2
mtrzuaqg,ppo,3,human,2
mtrzuaqg,ppo,4,human,2
mtrzuaqg,ppo,5,human,2
mtrzuaqg,ppo,6,human,1
mtrzuaqg,ppo,7,human,2
mtrzuaqg,ppo,8,human,1
mtrzuaqg,ppo,9,human,1
vfquzikg,ppo,0,human,1
vfquzikg,ppo,1,human,1
vfquzikg,ppo,2,human,2
vfquzikg,ppo,3,human,2
vfquzikg,ppo,4,human,2
vfquzikg,ppo,5,human,1
vfquzikg,ppo,6,human,2
vfquzikg,ppo,7,human,1
vfquzikg,ppo,8,human,1
vfquzikg,ppo,9,human,2
vfquzikg,ppo,0,human,1
vfquzikg,ppo,1,human,2
vfquzikg,ppo,2,human,2
vfquzikg,ppo,3,human,2
vfquzikg,ppo,4,human,1
vfquzikg,ppo,5,human,2
vfquzikg,ppo,6,human,2
vfquzikg,ppo,7,human,1
vfquzikg,ppo,8,human,2
vfquzikg,ppo,9,human,1
vfquzikg,ppo,0,human,2
vfquzikg,ppo,1,human,2
vfquzikg,ppo,2,human,1
vfquzikg,ppo,3,human,1
vfquzikg,ppo,4,human,1
vfquzikg,ppo,5,human,1
vfquzikg,ppo,6,human,2
vfquzikg,ppo,7,human,2
vfquzikg,ppo,8,human,2
vfquzikg,ppo,9,human,2
pylhdvee,ppo,0,human,1
pylhdvee,ppo,1,human,1
pylhdvee,ppo,2,human,2
pylhdvee,ppo,3,human,1
pylhdvee,ppo,4,human,1
pylhdvee,ppo,5,human,2
pylhdvee,ppo,6,human,2
pylhdvee,ppo,7,human,1
pylhdvee,ppo,8,human,1
pylhdvee,ppo,9,human,2
pylhdvee,ppo,0,human,2
pylhdvee,ppo,1,human,2
pylhdvee,ppo,2,human,2
pylhdvee,ppo,3,human,2
pylhdvee,ppo,4,human,2
pylhdvee,ppo,5,human,1
pylhdvee,ppo,6,human,2
pylhdvee,ppo,7,human,2
pylhdvee,ppo,8,human,2
pylhdvee,ppo,9,human,2
pylhdvee,ppo,0,human,1
pylhdvee,ppo,1,human,2
pylhdvee,ppo,2,human,1
pylhdvee,ppo,3,human,2
pylhdvee,ppo,4,human,1
pylhdvee,ppo,5,human,1
pylhdvee,ppo,6,human,1
pylhdvee,ppo,7,human,2
pylhdvee,ppo,8,human,1
pylhdvee,ppo,9,human,1
gfexfkps,ppo,0,human,2
gfexfkps,ppo,1,human,1
gfexfkps,ppo,2,human,1
gfexfkps,ppo,3,human,1
gfexfkps,ppo,4,human,1
gfexfkps,ppo,5,human,2
gfexfkps,ppo,6,human,1
gfexfkps,ppo,7,human,1
gfexfkps,ppo,8,human,2
gfexfkps,ppo,9,human,2
gfexfkps,ppo,0,human,2
gfexfkps,ppo,1,human,2
gfexfkps,ppo,2,human,2
gfexfkps,ppo,3,human,2
gfexfkps,ppo,4,human,2
gfexfkps,ppo,5,human,1
gfexfkps,ppo,6,human,1
gfexfkps,ppo,7,human,2
gfexfkps,ppo,8,human,2
gfexfkps,ppo,9,human,2
gfexfkps,ppo,0,human,1
gfexfkps,ppo,1,human,2
gfexfkps,ppo,2,human,2
gfexfkps,ppo,3,human,2
gfexfkps,ppo,4,human,2
gfexfkps,ppo,5,human,2
gfexfkps,ppo,6,human,2
gfexfkps,ppo,7,human,1
gfexfkps,ppo,8,human,2
gfexfkps,ppo,9,human,1
kfzgaywr,ppo,0,human,2
kfzgaywr,ppo,1,human,1
kfzgaywr,ppo,2,human,1
kfzgaywr,ppo,3,human,2
