humanID,opponent,condition,game,human_attack_freq_A,AI_attack_freq_A,human_peace_freq_A,AI_peace_freq_A,human_attack_freq_B,AI_attack_freq_B,human_peace_freq_B,AI_peace_freq_B,human_attack_freq_C,AI_attack_freq_C,human_peace_freq_C,AI_peace_freq_C,mutual_attack_A,human_victory_A,AI_victory_A,mutual_peace_A,mutual_attack_B,human_victory_B,AI_victory_B,mutual_peace_B,mutual_attack_C,human_victory_C,AI_victory_C,mutual_peace_C,human_attack_cum,AI_attack_cum,human_peace_cum,AI_peace_cum,human_attack_average,AI_attack_average,human_peace_average,AI_peace_average,mutual_attack_cum,human_victory_cum,AI_victory_cum,mutual_peace_cum,mutual_attack_average,human_victory_average,AI_victory_average,mutual_peace_average
qlva,ppo,human,hawkdove,8,8,2,2,7,7,3,3,5,5,5,5,4,4,1,1,3,4,2,1,3,2,3,2,20,20,10,10,6.666666666666667,6.666666666666667,3.3333333333333335,3.3333333333333335,10,10,6,4,3.3333333333333335,3.3333333333333335,2.0,1.3333333333333333
bvgecdc,ppo,human,hawkdove,10,10,0,0,5,5,5,5,6,6,4,4,5,5,0,0,3,2,2,3,4,2,2,2,21,21,9,9,7.0,7.0,3.0,3.0,12,9,4,5,4.0,3.0,1.3333333333333333,1.6666666666666667
bdebze,dqn,ai,hawkdove,5,5,5,5,5,5,5,5,3,3,7,7,0,5,0,5,0,5,0,5,0,3,0,7,13,13,17,17,4.333333333333333,4.333333333333333,5.666666666666667,5.666666666666667,0,13,0,17,0.0,4.333333333333333,0.0,5.666666666666667
khilkbnf,vpg,ai,hawkdove,6,6,4,4,6,6,4,4,4,4,6,6,3,3,1,3,2,4,2,2,3,1,2,4,16,16,14,14,5.333333333333333,5.333333333333333,4.666666666666667,4.666666666666667,8,8,5,9,2.6666666666666665,2.6666666666666665,1.6666666666666667,3.0
pndzuadn,dqn,ai,hawkdove,3,3,7,7,0,0,10,10,0,0,10,10,0,3,0,7,0,0,0,10,0,0,0,10,3,3,27,27,1.0,1.0,9.0,9.0,0,3,0,27,0.0,1.0,0.0,9.0
dvxcczhd,ppo,human,hawkdove,4,4,6,6,0,0,10,10,0,0,10,10,3,1,3,3,0,0,5,5,0,0,8,2,4,4,26,26,1.3333333333333333,1.3333333333333333,8.666666666666666,8.666666666666666,3,1,16,10,1.0,0.3333333333333333,5.333333333333333,3.3333333333333335
qhauppg,dqn,ai,hawkdove,6,6,4,4,4,4,6,6,4,4,6,6,0,6,0,4,0,4,0,6,0,4,0,6,14,14,16,16,4.666666666666667,4.666666666666667,5.333333333333333,5.333333333333333,0,14,0,16,0.0,4.666666666666667,0.0,5.333333333333333
suseoolg,ppo,human,hawkdove,0,0,10,10,0,0,10,10,0,0,10,10,0,0,5,5,0,0,7,3,0,0,5,5,0,0,30,30,0.0,0.0,10.0,10.0,0,0,17,13,0.0,0.0,5.666666666666667,4.333333333333333
mmnakws,ppo,human,hawkdove,0,0,10,10,0,0,10,10,0,0,10,10,0,0,6,4,0,0,4,6,0,0,2,8,0,0,30,30,0.0,0.0,10.0,10.0,0,0,12,18,0.0,0.0,4.0,6.0
vshgwvki,vpg,ai,hawkdove,6,6,4,4,5,5,5,5,5,5,5,5,3,3,1,3,2,3,2,3,2,3,3,2,16,16,14,14,5.333333333333333,5.333333333333333,4.666666666666667,4.666666666666667,7,9,6,8,2.3333333333333335,3.0,2.0,2.6666666666666665
grrvjo,vpg,ai,hawkdove,0,0,10,10,0,0,10,10,0,0,10,10,0,0,3,7,0,0,8,2,0,0,4,6,0,0,30,30,0.0,0.0,10.0,10.0,0,0,15,15,0.0,0.0,5.0,5.0
nnxyimq,vpg,ai,hawkdove,8,8,2,2,7,7,3,3,9,9,1,1,3,5,1,1,2,5,1,2,4,5,0,1,24,24,6,6,8.0,8.0,2.0,2.0,9,15,2,4,3.0,5.0,0.6666666666666666,1.3333333333333333
ajagqhrj,dqn,ai,hawkdove,3,3,7,7,7,7,3,3,0,0,10,10,0,3,0,7,0,7,0,3,0,0,0,10,10,10,20,20,3.3333333333333335,3.3333333333333335,6.666666666666667,6.666666666666667,0,10,0,20,0.0,3.3333333333333335,0.0,6.666666666666667
bjogjpdp,ppo,human,hawkdove,5,5,5,5,5,5,5,5,5,5,5,5,1,4,3,2,2,3,2,3,3,2,1,4,15,15,15,15,5.0,5.0,5.0,5.0,6,9,6,9,2.0,3.0,2.0,3.0
qaphrcvm,vpg,ai,hawkdove,2,2,8,8,10,10,0,0,10,10,0,0,2,0,5,3,6,4,0,0,6,4,0,0,22,22,8,8,7.333333333333333,7.333333333333333,2.6666666666666665,2.6666666666666665,14,8,5,3,4.666666666666667,2.6666666666666665,1.6666666666666667,1.0
yjnbgejh,dqn,ai,hawkdove,7,7,3,3,0,0,10,10,3,3,7,7,0,7,0,3,0,0,0,10,0,3,0,7,10,10,20,20,3.3333333333333335,3.3333333333333335,6.666666666666667,6.666666666666667,0,10,0,20,0.0,3.3333333333333335,0.0,6.666666666666667
